taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
3627	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia deliciosa
3631	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Abutilon	Abutilon theophrasti
3634	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium barbadense
3635	82	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium hirsutum
3636	3	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	Gossypium robinsonii
3638	28	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Thespesia	Thespesia populnea
3641	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Theobroma	Theobroma cacao
3645	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Lecythidaceae	Bertholletia	Bertholletia excelsa
3649	12	species	Viridiplantae	Streptophyta	Magnoliopsida	Brassicales	Caricaceae	Carica	Carica papaya
3652	18	subspecies	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Bryonia	Bryonia cretica
3654	32	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Citrullus	Citrullus lanatus
3656	48	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
3657	1	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
3658	1	varietas	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis melo
3659	29	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis sativus
3661	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita maxima
3662	17	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita moschata
3663	24	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita pepo
3668	117	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Lagenaria	Lagenaria siceraria
3670	43	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Luffa	Luffa aegyptiaca
3672	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	Momordica balsamina
3673	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Momordica	Momordica charantia
