taxid	count	resolved_rank	kingdom	phylum	class	order	family	genus	species
4121	18	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Ipomoea	Ipomoea purpurea
4123	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus arvensis
4138	13	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Paraleonurus	Paraleonurus japonicus
4146	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Oleaceae	Olea	Olea europaea
4151	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Antirrhinum	Antirrhinum majus
4153	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Linderniaceae	Craterostigma	Craterostigma plantagineum
4182	7	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Pedaliaceae	Sesamum	Sesamum indicum
4189	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Barleria	Barleria prionitis
4202	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Adoxaceae	Sambucus	Sambucus nigra
4203	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Adoxaceae	Sambucus	Sambucus racemosa
4212	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia artemisiifolia
4214	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia trifida
4217	55	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Arctium	Arctium lappa
4220	20	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Artemisia	Artemisia vulgaris
4222	39	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Carthamus	Carthamus tinctorius
4232	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	Helianthus annuus
4233	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Helianthus	Helianthus tuberosus
4300	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Aquifoliales	Aquifoliaceae	Ilex	Ilex pernyi
4307	10	species	Viridiplantae	Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Euonymus	Euonymus alatus
4337	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Anagallis	Anagallis arvensis
4341	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Cyrillaceae	Cyrilla	Cyrilla racemiflora
4347	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Rhododendron	Rhododendron hippophaeoides
4355	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sarraceniaceae	Darlingtonia	Darlingtonia californica
4357	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sarraceniaceae	Heliamphora	Heliamphora nutans
4359	2	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Sarraceniaceae	Sarracenia	Sarracenia flava
4373	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Drosophyllaceae	Drosophyllum	Drosophyllum lusitanicum
4392	21	species	Viridiplantae	Streptophyta	Magnoliopsida	Garryales	Eucommiaceae	Eucommia	Eucommia ulmoides
4396	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Hamamelis	Hamamelis mollis
4397	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Hamamelidaceae	Hamamelis	Hamamelis virginiana
4412	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Barclaya	Barclaya longifolia
4414	25	species	Viridiplantae	Streptophyta	Magnoliopsida	Nymphaeales	Nymphaeaceae	Euryale	Euryale ferox
4426	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Nymphaeales	Cabombaceae	Cabomba	Cabomba caroliniana
4432	22	species	Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo	Nelumbo nucifera
4442	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Theaceae	Camellia	Camellia sinensis
4451	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Alismataceae	Sagittaria	Sagittaria sagittifolia
4456	6	species	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Alocasia	Alocasia macrorrhizos
4460	11	species	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Colocasia	Colocasia esculenta
4465	23	species	Viridiplantae	Streptophyta	Magnoliopsida	Acorales	Acoraceae	Acorus	Acorus calamus
4472	4	species	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Lemna	Lemna minor
4477	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Araceae	Pistia	Pistia stratiotes
4483	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	Aegilops bicornis
4486	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Aegilops	Aegilops longissima
4498	13	species	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Avena	Avena sativa
4499	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Avena	Avena fatua
4502	1	species	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Bromus	Bromus secalinus
